Ќаименование показателЯ	Љод по бюджетной классификации					‘умма на год		
	главного распорЯдителЯ средств федерального бюджета	раздела	подраздела	целевой статьи	вида расходов	на 2012 год	на 2013 год	на 2014 год
1	2	3	4	5	6	7	8	9
name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	1005900	100	34К046,3		
ђасходы на выплаты персоналу казенных учреждений	188	03	02	1005900	110	34К046,3		
”онд оплаты труда и страховые взносы	188	03	02	1005900	111	34К036,4		
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	1005900	112	9,9		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	200	99К108,0		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	240	99К108,0		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	244	99К108,0		
Ѓюджетные инвестиции	188	03	02	1005900	400	2К865К105,3		
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1005900	410	2К865К105,3		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1005900	411	2К865К105,3		
€ные бюджетные ассигнованиЯ	188	03	02	1005900	800	614,2		
“плата налогов, сборов и иных платежей	188	03	02	1005900	850	614,2		
“плата прочих налогов, сборов и иных платежей	188	03	02	1005900	852	614,2		
"”едеральнаЯ целеваЯ программа ""Џовышение устойчивости жилых домов, основных объектов и систем жизнеобеспечениЯ в сейсмических районах ђоссийской ”едерации на 2009 - 2014 годы"""	188	03	02	1008200		162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции	188	03	02	1008200	400	162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1008200	410	162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1008200	411	162К500,0	162К500,0	162К500,0
"”едеральнаЯ целеваЯ программа ""Ћбеспечение безопасности полетов воздушных судов государственной авиации ђоссийской ”едерации в 2011 - 2015 годах"""	188	03	02	1009400		535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции	188	03	02	1009400	400	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1009400	410	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	02	1009400	412	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	03	02	1020000		12К005К823,4	21К177К771,1	19К007К394,1
‘троительство объектов общегражданского назначениЯ	188	03	02	1020200		882К190,0	319К633,4	
‘троительство объектов социального и производственного комплексов, в том числе объектов общегражданского назначениЯ, жильЯ, инфраструктуры	188	03	02	1020201		882К190,0	319К633,4	
Ѓюджетные инвестиции	188	03	02	1020201	400	882К190,0	319К633,4	
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1020201	410	882К190,0	319К633,4	
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1020201	411	882К190,0	319К633,4	
‘троительство специальных и военных объектов	188	03	02	1020300		11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции	188	03	02	1020300	400	11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1020300	410	11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1020300	411	383К000,0		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	02	1020300	412	10К740К633,4	20К858К137,7	19К007К394,1
Њеры государственной защиты потерпевших, свидетелей и иных участников уголовного судопроизводства	188	03	02	1320000		127К500,0	127К500,0	
‘пециальные мероприЯтиЯ	188	03	02	1328000		127К500,0	127К500,0	
€ные бюджетные ассигнованиЯ	188	03	02	1328000	800	127К500,0	127К500,0	
‘пециальные расходы	188	03	02	1328000	880	127К500,0	127К500,0	
‚оинские формированиЯ (органы, подразделениЯ)	188	03	02	2020000		611К591К680,2	598К794К746,7	598К607К278,0
ЋбЯзательное государственное страхование жизни и здоровьЯ военнослужащих, граждан, призванных на военные сборы, лиц рЯдового и начальствующего состава органов внутренних дел ђоссийской ”едерации, ѓосударственной противопожарной службы, органов по контролю за оборотом наркотических средств и психотропных веществ, должностных лиц таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, судебных приставов	188	03	02	2021000		7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2021000	100	7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2021000	130	7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2021000	133	7К999К457,0	7К999К457,0	7К999К457,0
Ћбеспечение граждан квалифицированной юридической помощью по назначению органов дознаниЯ, органов предварительного следствиЯ, прокурора	188	03	02	2024200		2К087К187,3	1К784К500,3	1К784К500,3
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	200	2К087К187,3	1К784К500,3	1К784К500,3
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	240	2К087К187,3	1К784К500,3	1К784К500,3
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	244	2К087К187,3	1К784К500,3	1К784К500,3
‘пециальные мероприЯтиЯ	188	03	02	2026500		5К033К776,6	4К698К254,6	4К698К254,6
€ные бюджетные ассигнованиЯ	188	03	02	2026500	800	5К033К776,6	4К698К254,6	4К698К254,6
‘пециальные расходы	188	03	02	2026500	880	5К033К776,6	4К698К254,6	4К698К254,6
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	2026700		587К552К225,6	575К313К501,1	575К126К032,4
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2026700	100	514К779К364,1	503К624К735,1	503К746К169,8
ђасходы на выплаты персоналу казенных учреждений	188	03	02	2026700	110	950К818,3	950К818,3	950К918,3
”онд оплаты труда и страховые взносы	188	03	02	2026700	111	933К087,1	933К087,1	933К087,1
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2026700	112	17К731,2	17К731,2	17К831,2
ђасходы на выплаты персоналу государственных органов	188	03	02	2026700	120	12К582К064,7	12К220К407,0	12К220К407,0
