Ќаименование показателЯ	Љод по бюджетной классификации					‘умма на год		
	главного распорЯдителЯ средств федерального бюджета	раздела	подраздела	целевой статьи	вида расходов	на 2012 год	на 2013 год	на 2014 год
1	2	3	4	5	6	7	8	9
name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
ЉомпенсациЯ расходов на оплату стоимости проезда и провоза багажа к месту использованиЯ отпуска и обратно лицам, работающим в организациЯх, финансируемых из федерального бюджета, расположенных в районах Љрайнего ‘евера и приравненных к ним местностЯх	188	03	02	5051002		114К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5051002	100	114К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу казенных учреждений	188	03	02	5051002	110	79К961,6	79К961,6	79К961,6
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	5051002	112	79К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу государственных органов	188	03	02	5051002	120	35К000,0		
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	5051002	122	35К000,0		
Ћбеспечение созданиЯ, эксплуатации государственной системы изготовлениЯ, оформлениЯ и контролЯ паспортно-визовых документов нового поколениЯ	188	03	02	5260000		72К106,2	28К052,8	28К052,8
Ћбеспечение созданиЯ государственной системы изготовлениЯ, оформлениЯ и контролЯ паспортно-визовых документов нового поколениЯ	188	03	02	5260100		44К053,4		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5260100	200	44К053,4		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	5260100	240	44К053,4		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5260100	244	44К053,4		
ќксплуатациЯ государственной системы изготовлениЯ, оформлениЯ и контролЯ паспортно-визовых документов нового поколениЯ	188	03	02	5260200		28К052,8	28К052,8	28К052,8
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5260200	200	28К052,8	28К052,8	28К052,8
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	5260200	240	28К052,8	28К052,8	28К052,8
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5260200	244	28К052,8	28К052,8	28К052,8
ЋрганизациЯ и проведение XXII Ћлимпийских зимних игр и XI Џаралимпийских зимних игр 2014 года в городе ‘очи, развитие города ‘очи как горноклиматического курорта	188	03	02	5500000		3К395К251,5	2К684К000,0	4К328К000,0
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	03	02	5500700		1К185К291,5		
‘троительство специальных и военных объектов	188	03	02	5500720		1К185К291,5		
Ѓюджетные инвестиции	188	03	02	5500720	400	1К185К291,5		
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	5500720	410	1К185К291,5		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	02	5500720	412	1К185К291,5		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	02	5500800		1К317К520,0		
‡акупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	02	5500820		1К317К520,0		
ЂвиационнаЯ техника	188	03	02	5500821		278К800,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5500821	200	278К800,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	5500821	210	278К800,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	5500821	212	278К800,0		
ЂвтобронетанковаЯ техника	188	03	02	5500823		15К969,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5500823	200	15К969,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	5500823	210	15К969,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	5500823	212	15К969,0		
ќлектроннаЯ техника и средства свЯзи	188	03	02	5500826		877К120,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5500826	200	877К120,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	5500826	210	877К120,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	5500826	212	877К120,0		
„ругие вооружениЯ, военнаЯ и специальнаЯ техника	188	03	02	5500828		145К631,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5500828	200	145К631,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	5500828	210	145К631,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	5500828	212	145К631,0		
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	5506700		892К440,0	2К684К000,0	4К328К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5506700	100	95К484,4	187К700,0	428К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5506700	130	95К484,4	187К700,0	428К000,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	5506700	134	95К484,4	187К700,0	428К000,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5506700	200	796К955,6	2К496К300,0	3К900К000,0
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5506700	220	86К040,0		
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	02	5506700	224	3К200,0		
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	02	5506700	225	77К840,0		
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	02	5506700	226	5К000,0		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	5506700	240	710К915,6	2К496К300,0	3К900К000,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5506700	244	710К915,6	2К496К300,0	3К900К000,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	02	7050000		6К615К434,5	1К792К520,9	2К302К905,9
‡акупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	02	7050200		6К615К434,5	1К792К520,9	2К302К905,9
ЂвтобронетанковаЯ техника	188	03	02	7050203		1К292К178,7	984К708,7	1К182К739,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050203	200	1К292К178,7	984К708,7	1К182К739,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050203	210	1К292К178,7	984К708,7	1К182К739,0
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050203	212	937К470,0	630К000,0	776К231,0
ђемонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050203	215	354К708,7	354К708,7	406К508,0
‘трелковое и холодное оружие	188	03	02	7050205		34К906,3	34К906,3	43К010,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050205	200	34К906,3	34К906,3	43К010,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050205	210	34К906,3	34К906,3	43К010,0
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050205	212	34К906,3	34К906,3	43К010,0
ќлектроннаЯ техника и средства свЯзи	188	03	02	7050206		5К019К349,5	603К905,9	868К929,9
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050206	200	5К019К349,5	603К905,9	868К929,9
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050206	210	5К019К349,5	603К905,9	868К929,9
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050206	212	3К930К443,6	110К000,0	135К532,0
ђемонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050206	215	1К088К905,9	493К905,9	733К397,9
Ѓоеприпасы	188	03	02	7050207		29К000,0	29К000,0	35К732,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050207	200	29К000,0	29К000,0	35К732,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050207	210	29К000,0	29К000,0	35К732,0
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050207	212	29К000,0	29К000,0	35К732,0
„ругие вооружениЯ, военнаЯ и специальнаЯ техника	188	03	02	7050208		190К000,0	140К000,0	172К495,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050208	200	190К000,0	140К000,0	172К495,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050208	210	190К000,0	140К000,0	172К495,0
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050208	212	190К000,0	140К000,0	172К495,0
ЏрочаЯ продукциЯ производственно-технического назначениЯ	188	03	02	7050209		50К000,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	7050209	200	50К000,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	02	7050209	210	50К000,0		
ђемонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	02	7050209	215	50К000,0		
‚нутренние войска	188	03	03			113К408К130,5	116К906К003,9	114К607К584,5
ђуководство и управление в сфере установленных функций	188	03	03	0010000		1К163К886,8	992К361,3	992К361,3
–ентральный аппарат	188	03	03	0010400		1К155К851,3	985К851,3	985К851,3
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	0010400	100	1К155К851,3	985К851,3	985К851,3
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	0010400	130	1К155К851,3	985К851,3	985К851,3
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	03	0010400	131	1К155К851,3	985К851,3	985К851,3
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	03	0016700		8К035,5	6К510,0	6К510,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	0016700	100	8К035,5	6К510,0	6К510,0
ђасходы на выплаты персоналу государственных органов	188	03	03	0016700	120	8К035,5	6К510,0	6К510,0
”онд оплаты труда и страховые взносы	188	03	03	0016700	121	8К035,5	6К510,0	6К510,0
”едеральные целевые программы	188	03	03	1000000		5К237К000,0	6К209К200,0	3К124К200,0
"”едеральнаЯ целеваЯ программа ""‘овершенствование системы комплектованиЯ должностей сержантов и солдат военнослужащими, переведенными на военную службу по контракту, и осуществление перехода к комплектованию должностей сержантов (старшин) ‚ооруженных ‘ил ђоссийской ”едерации, других войск, воинских формирований и органов, а также матросов плавсостава ‚оенно-Њорского ”лота военнослужащими, проходЯщими военную службу по контракту (2009 - 2015 годы)"""	188	03	03	1008000		5К220К000,0	6К151К600,0	3К037К600,0
Ѓюджетные инвестиции	188	03	03	1008000	400	5К220К000,0	6К151К600,0	3К037К600,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	03	1008000	410	5К220К000,0	6К151К600,0	3К037К600,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	03	1008000	412	5К220К000,0	6К151К600,0	3К037К600,0
"”едеральнаЯ целеваЯ программа ""Ћбеспечение безопасности полетов воздушных судов государственной авиации ђоссийской ”едерации в 2011 - 2015 годах"""	188	03	03	1009400		17К000,0	57К600,0	86К600,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	1009400	200	17К000,0	27К000,0	56К000,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	1009400	210	17К000,0	27К000,0	56К000,0
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества вне рамок государственного оборонного заказа	188	03	03	1009400	213	17К000,0	27К000,0	56К000,0
Ѓюджетные инвестиции	188	03	03	1009400	400		30К600,0	30К600,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	03	1009400	410		30К600,0	30К600,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	03	1009400	412		30К600,0	30К600,0
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	03	03	1020000		4К035К889,9	7К508К814,0	7К508К814,0
‘троительство специальных и военных объектов	188	03	03	1020300		4К035К889,9	7К508К814,0	7К508К814,0
Ѓюджетные инвестиции	188	03	03	1020300	400	4К035К889,9	7К508К814,0	7К508К814,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	03	1020300	410	4К035К889,9	7К508К814,0	7К508К814,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	03	1020300	412	4К035К889,9	7К508К814,0	7К508К814,0
‚оинские формированиЯ (органы, подразделениЯ)	188	03	03	2020000		100К029К058,1	101К262К127,6	101К859К559,2
ЋбЯзательное государственное страхование жизни и здоровьЯ военнослужащих, граждан, призванных на военные сборы, лиц рЯдового и начальствующего состава органов внутренних дел ђоссийской ”едерации, ѓосударственной противопожарной службы, органов по контролю за оборотом наркотических средств и психотропных веществ, должностных лиц таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, судебных приставов	188	03	03	2021000		700К000,0	700К000,0	700К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2021000	100	700К000,0	700К000,0	700К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2021000	130	700К000,0	700К000,0	700К000,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	2021000	133	700К000,0	700К000,0	700К000,0
Ћбеспечение граждан квалифицированной юридической помощью по назначению органов дознаниЯ, органов предварительного следствиЯ, прокурора	188	03	03	2024200		400,0	400,0	400,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	2024200	200	400,0	400,0	400,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	03	2024200	240	400,0	400,0	400,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	03	2024200	244	400,0	400,0	400,0
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	03	2026700		97К157К914,8	98К452К015,4	99К041К716,5
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2026700	100	79К845К817,5	81К266К847,7	81К275К052,5
ђасходы на выплаты персоналу казенных учреждений	188	03	03	2026700	110	598К172,4	563К569,1	563К754,6
”онд оплаты труда и страховые взносы	188	03	03	2026700	111	593К672,4	561К739,1	561К924,6
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	03	2026700	112	4К500,0	1К830,0	1К830,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2026700	130	79К247К645,1	80К703К278,6	80К711К297,9
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	03	2026700	131	77К975К749,2	78К894К381,8	78К917К581,8
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	2026700	133	7К473,0		
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	2026700	134	1К264К422,9	1К808К896,8	1К793К716,1
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	2026700	200	17К221К167,3	17К120К167,7	17К701К664,0
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2026700	220	8К719К909,8	9К146К330,3	9К508К053,3
Ћбеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа	188	03	03	2026700	221	1К345К159,1	1К549К622,0	1К549К622,0
Ћбеспечение специальным топливом и горюче-смазочными материалами вне рамок государственного оборонного заказа	188	03	03	2026700	222	459К539,8	423К341,5	423К341,5
Џродовольственное обеспечение в рамках государственного оборонного заказа	188	03	03	2026700	223	4К378К135,3	4К769К354,7	5К007К822,4
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	03	2026700	224	60К112,2	64К592,6	65К937,0
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	03	2026700	225	2К451К290,3	2К268К661,7	2К385К594,9
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	03	2026700	226	25К673,1	70К757,8	75К735,5
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	03	2026700	240	8К501К257,5	7К973К837,4	8К193К610,7
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	03	2026700	242	1К391К548,6	688К178,4	688К178,4
‡акупка товаров, работ, услуг в целЯх капитального ремонта государственного имущества	188	03	03	2026700	243	971К733,5	899К233,5	899К233,5
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	03	2026700	244	6К137К975,4	6К386К425,5	6К606К198,8
€ные бюджетные ассигнованиЯ	188	03	03	2026700	800	90К930,0	65К000,0	65К000,0
€сполнение судебных актов	188	03	03	2026700	830	50К000,0	50К000,0	50К000,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	03	2026700	831	50К000,0	50К000,0	50К000,0
“плата налогов, сборов и иных платежей	188	03	03	2026700	850	40К930,0	15К000,0	15К000,0
“плата налога на имущество организаций и земельного налога	188	03	03	2026700	851	1К000,0		
“плата прочих налогов, сборов и иных платежей	188	03	03	2026700	852	39К930,0	15К000,0	15К000,0
‚ыплата денежных средств военнослужащим, сотрудникам федеральных органов исполнительной власти длЯ оплаты стоимости путевок длЯ их детей в организации отдыха и оздоровлениЯ детей, открытые в установленном порЯдке на территории ђоссийской ”едерации	188	03	03	2027000		2К352,2		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2027000	100	2К352,2		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2027000	130	2К352,2		
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	2027000	134	2К352,2		
‚озмещение учреждениЯм государственной и муниципальной систем здравоохранениЯ расходов на оказание медицинской помощи военнослужащим, гражданам, призванным на военные сборы, сотрудникам органов внутренних дел ђоссийской ”едерации, государственной противопожарной службы Њинистерства ђоссийской ”едерации по делам гражданской обороны, чрезвычайным ситуациЯм и ликвидации последствий стихийных бедствий, уголовно-исполнительной системы, таможенных органов и лицам начальствующего состава федеральной фельдъегерской свЯзи	188	03	03	2027100		66К530,0	66К530,0	66К530,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2027100	100	66К530,0	66К530,0	66К530,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2027100	130	66К530,0	66К530,0	66К530,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	2027100	134	66К530,0	66К530,0	66К530,0
Џособие на обзаведение имуществом первой необходимости	188	03	03	2027400		35К600,0		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2027400	100	35К600,0		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2027400	130	35К600,0		
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	2027400	133	35К600,0		
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	03	2028700		757К690,0	756К000,0	756К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2028700	100	757К690,0	756К000,0	756К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2028700	130	757К690,0	756К000,0	756К000,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	2028700	133	757К690,0	756К000,0	756К000,0
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	03	2028800		1К306К605,3	1К287К182,2	1К294К912,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2028800	100	1К306К605,3	1К287К182,2	1К294К912,7
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2028800	130	1К306К605,3	1К287К182,2	1К294К912,7
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	2028800	134	1К306К605,3	1К287К182,2	1К294К912,7
Џредоставление путевок (пособий) на санаторно-курортное лечение и (или) денежной компенсации	188	03	03	2028900		1К965,8		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	2028900	100	1К965,8		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	2028900	130	1К965,8		
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	2028900	134	1К965,8		
Ќакопительно-ипотечнаЯ система жилищного обеспечениЯ военнослужащих	188	03	03	2120000		199К465,0		
Ќакопительно-ипотечнаЯ система жилищного обеспечениЯ военнослужащих	188	03	03	2120100		199К465,0		
‘оциальное обеспечение и иные выплаты населению	188	03	03	2120100	300	199К465,0		
‘оциальные выплаты гражданам, кроме публичных нормативных социальных выплат	188	03	03	2120100	320	199К465,0		
‘убсидии гражданам на приобретение жильЯ	188	03	03	2120100	322	199К465,0		
“чреждениЯ культуры и мероприЯтиЯ в сфере культуры и кинематографии	188	03	03	4400000		60К100,0	60К100,0	60К100,0
ѓранты в области науки, культуры, искусства и средств массовой информации	188	03	03	4409000		60К100,0	60К100,0	60К100,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	4409000	100	57К095,0	57К095,0	57К095,0
ђасходы на выплаты персоналу казенных учреждений	188	03	03	4409000	110	40К893,2	40К893,2	40К893,2
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	03	4409000	112	40К893,2	40К893,2	40К893,2
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	4409000	130	16К201,8	16К201,8	16К201,8
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	4409000	134	16К201,8	16К201,8	16К201,8
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	4409000	200	3К005,0	3К005,0	3К005,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	03	4409000	240	3К005,0	3К005,0	3К005,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	03	4409000	244	3К005,0	3К005,0	3К005,0
‘оциальнаЯ помощь	188	03	03	5050000		487К626,5	494К401,0	495К750,0
"”едеральный закон от 19 маЯ 1995 года Ь 81-”‡ ""Ћ государственных пособиЯх гражданам, имеющим детей"""	188	03	03	5050500		487К626,5	494К401,0	495К750,0
Џособие по беременности и родам	188	03	03	5050510		279К806,0	323К701,0	320К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5050510	100	279К806,0	323К701,0	320К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5050510	130	279К806,0	323К701,0	320К000,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	5050510	133	279К806,0	323К701,0	320К000,0
…диновременное пособие женщинам, вставшим на учет в медицинских учреждениЯх в ранние сроки беременности	188	03	03	5050511		700,0	700,0	750,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5050511	100	700,0	700,0	750,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5050511	130	700,0	700,0	750,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	5050511	134	700,0	700,0	750,0
…диновременное пособие при рождении ребенка	188	03	03	5050512		54К680,0	50К000,0	55К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5050512	100	54К680,0	50К000,0	55К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5050512	130	54К680,0	50К000,0	55К000,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	5050512	134	54К680,0	50К000,0	55К000,0
…жемесЯчное пособие по уходу за ребенком	188	03	03	5050513		152К440,5	120К000,0	120К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5050513	100	152К440,5	120К000,0	120К000,0
