NUMLICDOC	LAWADDRESS	NUMBER	LICENSEFK	ORGNAME	SYS_GUID	DATELICDOC	SCHOOLNAME	SHORTNAME
1260	394065, г. Воронеж, проспект Патриотов, д. 53	4	051A9B1D12CFA1B314E4D1B6B39F9427		C6BAA731D47A9969D2423E2352CDE1EC	17.05.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Воронежский институт Министерства внутренних дел Российской Федерации»	
1257	630114, Россия, г. Новосибирск, ул. Ключ-Камышенское плато, д. 6/2	1.2	083BBD2AFF2D941E39A8B6B9AB9BA59D		41AE83CD443FEA029A3224A130AC2A36	17.05.2011	федеральное государственное военное образовательное учреждение высшего профессионального образования «Новосибирский военный институт внутренних войск имени генерала армии И.К. Яковлева Министерства внутренних дел Российской Федерации»	
1309	410023, г. Саратов, ул. Московская, д. 158	2	4AFD79767074F80504C46694CA1284CB		AB1A86416111CB6FC9024D2647F8FD17	18.05.2010	федеральное государственное военное образовательное учреждение высшего профессионального образования «Саратовский военный институт внутренних войск Министерства внутренних дел Российской Федерации»	
1389	350005, г. Краснодар, ул. Ярославская, д. 128	8	4BF2C8F8552F66CB488F7F7FC445D46E		EEC4170283E5B0BFD2CEE29C1B9390CB	06.06.2011	федеральное государственное образовательное учреждение высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
1408	690087, г. Владивосток, ул. Котельникова, д. 21	2.2	B4B2A9BC4145FB560F2B49E01DEA4AE0		2D1FB9FBB89EC990B48965B1C2092E9F	06.06.2011	Владивостокский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
2199-06	660131, г. Красноярск, ул. Рокоссовского, д. 20	1.1	169801862F1AB453690429A5CF0FE024	Федеральная служба по надзору в сфере образования и науки	16516586BB2922A167254F5F2BF2F453	06.07.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Сибирский юридический институт Министерства внутренних дел Российской Федерации (г. Красноярск)	ФГКОУ ВПО «СибЮИ МВД России»
1640	656038, Алтайский край, г. Барнаул, улица Чкалова, д. 49	2	984B415EF64863852D71850DB4953A58	Федеральная служба по надзору в сфере образования и науки	C9EFA806A036D3F6A707F24EA9362CB1	07.07.2011	федеральное государственное образовательное учреждение высшего профессионального образования «Барнаульский юридический институт Министерства внутренних дел Российской Федерации»	БЮИ МВД России
2275-06	302027, г. Орел, ул. Игнатова, д. 2	1.1	A31806E56DED73217B5779BF6E3D6D87	Федеральная служба по надзору в сфере образования и науки	A8804A83CBBA2BC8492E266A37B7DF7C	08.07.2011	Федеральное государственное казенное образовательное учреждение высшего профессионального образования «Орловский юридический институт Министерства внутренних дел Российской Федерации»	Орловский юридический институт МВД России
815	350005, г. Краснодар, ул. Ярославская, д. 128	1.2	B960ED913F4C27F1423AF437083D0505	Федеральная служба по надзору в сфере образования и науки	8EE62CDE20FB4F66A3B2A02B2ABCF583	21.06.2012	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	Краснодарский университет МВД России, КрУ МВД России
1681	302027, г. Орел, ул. Игнатова, д. 2	1.2	A31806E56DED73217B5779BF6E3D6D87	Федеральная служба по надзору в сфере образования и науки	DEB5E78B2D35B8BB077C2ED03E493051	18.07.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Орловский юридический институт Министерства внутренних дел Российской Федерации»	Орловский юридический институт МВД России
1710	644092, Омская область, г. Омск, проспект Комарова, д. 7	3	30ACB53EDAA056FBB0CA01681CFE91F5	Федеральная служба по надзору в сфере образования и науки	EF4B760A49BCB1BF432508D652A6D980	20.07.2011	федеральное государственное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации»	Омская академия МВД России
1559-05	371000, Ленинский район, г. Грозный, ул. Мичурина, д. 189	1	7090D54721D0B0C74209473ABE703427	Федеральная служба по надзору в сфере образования и науки	45E59054CF0A2F597A10C3F30D0B3228	27.10.2006	Грозненский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
1559-05	352900, Краснодарский край, г. Армавир, ул. Лавриненко, д. 1	1	F77B530A8EB2AFFA623F0DEE450A6E11	Федеральная служба по надзору в сфере образования и науки	42DC46C20B865E342F1977A5A51CBC04	27.10.2006	Армавирский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
1559-05	354065, Краснодарский край, г. Сочи, ул. Чайковского, д. 49	1	44A559430183596C3146354233A81F03	Федеральная служба по надзору в сфере образования и науки	81D2F84A437AF11AF313BB0EDA033C2D	27.10.2006	Сочинский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
2402	352900, Краснодарский край, г. Армавир, ул. Лавриненко, д. 1	2	F77B530A8EB2AFFA623F0DEE450A6E11	Федеральная служба по надзору в сфере образования и науки	BD04A935C5AA0696FD5F86DD86B4DCF7	20.11.2006	Армавирский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
2436	308024, г. Белгород, ул. Горького, д. 71	1	ECF891CABE17593BEF35EA994021B470	Федеральная служба по надзору в сфере образования и науки	49D4C56D5E5E7C4F25F3970F389B9ED6	23.11.2006	Государственное образовательное учреждение высшего профессионального образования «Белгородский юридический институт Министерства внутренних дел  Российской Федерации»	Белгородский юридический институт МВД России
1794	352900, Краснодарский край, г. Армавир, ул. Лавриненко, д. 1	3	F77B530A8EB2AFFA623F0DEE450A6E11	Федеральная служба по надзору в сфере образования и науки	7A010FD143F2FA7176FE3AAFE80373F1	17.07.2007	Армавирский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
1795	371000, Ленинский район, г. Грозный, ул. Мичурина, д. 189	2	7090D54721D0B0C74209473ABE703427	Федеральная служба по надзору в сфере образования и науки	7129EB344C7FAE03B5BB7F4925A86547	17.07.2007	Грозненский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
30	308024, г. Белгород, ул. Горького, д. 71	2	ECF891CABE17593BEF35EA994021B470	Федеральная служба по надзору в сфере образования и науки	4E66DD780AE70AD33EE3A8C8A5BCC175	21.12.1994	Государственное образовательное учреждение высшего профессионального образования «Белгородский юридический институт Министерства внутренних дел  Российской Федерации»	Белгородский юридический институт МВД России
2427-06	450091, Республика Башкортостан, г. Уфа, ул. Муксинова, д. 2	1.1	418FCBF04296336AD4B0A59B98E9AD95	Федеральная служба по надзору в сфере образования и науки	C9EC860641492CDA5E266CF5C64E77B5	25.07.2011	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Уфимский юридический институт Министерства внутренних дел Российской Федерации»	Уфимский юридический институт МВД России
1796	614108, Пермский край, город Пермь, улица Гремячий Лог, дом 1	2	1B3811EAC73936F0715AB82E9795E202	Федеральная служба по надзору в сфере образования и науки	0E2E55922738F571BCF622B8BCF46355	01.08.2011	федеральное государственное военное образовательное учреждение высшего профессионального образования «Пермский военный институт внутренних войск Министерства внутренних дел Российской Федерации»	ПВИ ВВ МВД России
3879-06	614112, Пермский край, город Пермь, улица Гремячий Лог, дом 1	1.1	2F013B5162E800D6029596C34EEF7101	Федеральная служба по надзору в сфере образования и науки	955409ABA4129C161BD311BB7F155D08	29.11.2011	федеральное государственное казенное военное образовательное учреждение высшего профессионального образования «Пермский военный институт внутренних войск Министерства внутренних дел Российской Федерации»	Пермский военный институт внутренних войск МВД России, ПВИ ВВ МВД России
2785-06	603144, Нижегородская область, г. Нижний Новгород, Приокский район, Анкудиновское шоссе, д. 3	1.1	3C003C575CE86DCD5AA37926B1E9AAA9	Федеральная служба по надзору в сфере образования и науки	092E44BE5D3EB965060872ED97F570D1	24.08.2011	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Нижегородская академия Министерства внутренних дел Российской Федерации»	Нижегородская академия МВД России или НА МВД России
2663-06	129329, г. Москва, ул. Кольская, д. 2	1.1	EB7BF89386ED658A046F0519D90910CE	Федеральная служба по надзору в сфере образования и науки	49FC0BD01DC4B737EB75C253109680CE	15.08.2011	федеральное государственное  казенное образовательное учреждение высшего профессионального образования «Академия экономической безопасности Министерства внутренних дел Российской Федерации»	
2521-06	344015, г. Ростов-на-Дону, ул. Маршала Еременко, д. 83	1.1	CA6287B2C72156608DD516CB75170D4E	Федеральная служба по надзору в сфере образования и науки	2B47DB904F429B7AC60CD43CB5C481CC	05.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Ростовский юридический институт Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО «РЮИ МВД России»
2591-06	394065, г. Воронеж, проспект Патриотов, д. 53	1.1	DE7BCBE88733C25740DDDD4D32167A60	Федеральная служба по надзору в сфере образования и науки	E637ABEFCD5AB6F2FBC85412B82FE7A2	09.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Воронежский институт Министерства внутренних дел Российской Федерации»	Воронежский институт МВД России
2597-06	308024, г. Белгород, ул. Горького, д. 71	1.1	4EB2418664B58C79B301D2E75D2355BA	Федеральная служба по надзору в сфере образования и науки	3457277CB19881949C5B4767F5E705A4	09.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Белгородский юридический институт Министерства внутренних дел Российской Федерации»	Белгородский юридический институт МВД России
2598-06	620057, г. Екатеринбург, ул. Корепина, д. 66	1.1	0C92C8F2B07F052A7915C10FAC9045E3	Федеральная служба по надзору в сфере образования и науки	B0638DB3653FAED79C312EAAD64C7446	09.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Уральский юридический институт Министерства внутренних дел Российской Федерации»	Уральский юридический институт МВД России
2631-06	664074, г. Иркутск, улица Лермонтова, д. 110	1.1	763217825B7E92E27776F8DEDD5E81B0	Федеральная служба по надзору в сфере образования и науки	5ABBDEDD26C19D2EF3B6549E4B24EB0B	10.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Восточно-Сибирский институт Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО ВСИ МВД России
2632-06	236006, Калининградская область, г. Калининград, Московский проспект, д. 8	1.1	E8F01EE089D86817A4759239D005AFAB	Федеральная служба по надзору в сфере образования и науки	94606B46AFB2302F36D43188C283CABE	10.08.2011	Федеральное государственное казенное образовательное учреждение высшего профессионального образования «Калининградский юридический институт Министерства внутренних дел Российской Федерации»	Калининградский юридический институт МВД России
3907-06	644092, Омская область, г. Омск, проспект Комарова, д. 7	1.4	825E4AC70BA6FD2EFB148649324A73EC	Федеральная служба по надзору в сфере образования и науки	7E1BAE08A97A44604B3722EBFBF0ED26	19.10.2012	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации»	Омская академия МВД России или ОмА МВД России
2189-06	353911, Краснодарский край, г. Новороссийск, Сухумийское шоссе, д. 12 км	10	4BF2C8F8552F66CB488F7F7FC445D46E	Федеральная служба по надзору в сфере образования и науки	833C82DDEE7EE1663BC5630E64DF2AA7	06.07.2011	Новороссийский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
2189-06	355000, Ставропольский край, г. Ставрополь, просп. Кулакова, д. 43	11	4BF2C8F8552F66CB488F7F7FC445D46E	Федеральная служба по надзору в сфере образования и науки	DC998360EA8C44375BD5CE52471B88C3	06.07.2011	Ставропольский филиал федерального государственного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	
2517-06	644092, Омская область, г. Омск, проспект Комарова, д. 7	1.1	825E4AC70BA6FD2EFB148649324A73EC	Федеральная служба по надзору в сфере образования и науки	04E646B147CEF9596DC330D2533A4B3C	03.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации»	Омская академия МВД России или ОмА МВД России
2586-06	644092, Омская область, г. Омск, проспект Комарова, д. 7	1.2	825E4AC70BA6FD2EFB148649324A73EC	Федеральная служба по надзору в сфере образования и науки	AF889A490D8530213D316B329BABDE53	09.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации»	Омская академия МВД России или ОмА МВД России
2663-06	129329, г. Москва, ул. Кольская, д. 2	1.1	A02B860C208FC20A4050C8E0A879E9B6	Федеральная служба по надзору в сфере образования и науки	DDB1974DB2D7717818653C3EBABEA6CE	15.08.2011	федеральное государственное  казенное образовательное учреждение высшего профессионального образования «Академия экономической безопасности Министерства внутренних дел Российской Федерации»	Академия экономической безопасности МВД России; ФГКОУ ВПО АЭБ МВД России; АЭБ МВД России
2518-06	198206, г. Санкт-Петербург, ул. Летчика Пилютова, д. 1	1.1	3BA350311CC3BC3585BC0EA03298B27F	Федеральная служба по надзору в сфере образования и науки	B2EAA4C4A8C43C94CC5E21FAA1CDAB93	05.08.2011	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Санкт-Петербургский университет Министерства внутренних дел Российской Федерации»	Санкт-Петербургский университет МВД России
2731-06	400089, г. Волгоград, ул. Историческая, д. 130	1.1	6F1BA551E13274956F2926352062EEEF	Федеральная служба по надзору в сфере образования и науки	61AAFEA28D87ECB91AD8A28EAEDED7D9	18.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Волгоградская академия Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО «Волгоградская академия МВД России»; Волгоградская академия МВД России; ВА МВД России
1884	644092, Омская область, г. Омск, проспект Комарова, д. 7	1.3	825E4AC70BA6FD2EFB148649324A73EC	Федеральная служба по надзору в сфере образования и науки	D52AE61B96F72672FD87B117843F841F	22.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Омская академия Министерства внутренних дел Российской Федерации»	Омская академия МВД России или ОмА МВД России
2773-06	117437, г. Москва, ул. Академика Волгина, д. 12	1.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	B6F8BA5788A961892C2AA270CDDA27F8	23.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Московский университет МВД России
1915	690087, г. Владивосток, ул. Котельникова, д. 21	2.3	B4B2A9BC4145FB560F2B49E01DEA4AE0	Федеральная служба по надзору в сфере образования и науки	48E16C8B82FACBD5A4C551BB9E8B16D4	25.08.2011	Владивостокский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	ВФ ФГОУ ВПО «ДВЮИ МВД России»
2828-06	Российская Федерация, 680020, Хабаровский край, г. Хабаровск, пер. Казарменный, д. 15	1.2	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	046A8D3C9D498C4D3F2731FD1EC1B459	29.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО ДВЮИ МВД России
2773-06	392008, г. Тамбов, ул. Советская, д. 187г	6.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	E132FFBD08C9C1E2BB9DD30AAF322216	23.08.2011	Тамбовский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Тамбовский филиал Московского университета МВД России
2773-06	170040, г. Тверь, ул. Кривичская, д. 12	7.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	E42437DDE3B463F233F4AFF5A42E7581	23.08.2011	Тверской филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Тверской филиал Московского университета МВД России
2773-06	300041, г. Тула, проспект Ленина, д. 53	8.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	AF654612631A2D69C8D2F066DE9DFF7B	23.08.2011	Тульский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Тульский филиал Московского университета МВД России
2773-06	390046, г. Рязань, ул. Введенская, д. 106	4.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	3570EFF7AE0AE52FA8844516C64F6200	23.08.2011	Рязанский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Рязанский филиал Московского университета МВД России
2773-06	143100, Московская область, Рузский район, пос. Старотеряево	3.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	82836B98C7617C9B40AA0715C36D8397	23.08.2011	Московский областной филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Московский областной филиал Московского университета МВД России
2773-06	214034,  г. Смоленск, ул. Куйбышева, д. 11	5.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	39318E42C1B4582C7936A502A564AA56	23.08.2011	Смоленский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Смоленский филиал Московского университета МВД России
2773-06	241050, г. Брянск, 2-й Советский переулок, д. 2а	2.1	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	64097825F05A0F73139016517FA34C78	23.08.2011	Брянский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Брянский филиал Московского университета МВД России
2890-06	656038, Алтайский край, г. Барнаул, улица Чкалова, д. 49	1.1	5B58C0A192166F42681A72A7E955BF24	Федеральная служба по надзору в сфере образования и науки	43ECE411ECA95FEA2576FE61761977D2	01.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Барнаульский юридический институт Министерства внутренних дел Российской Федерации»	Барнаульский юридический институт МВД России, БЮИ МВД России
2834-06	Российская Федерация, 680020, Хабаровский край, г. Хабаровск, пер. Казарменный, д. 15	1.1	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	D9EE8629FFEB22F361896AAB36465B95	29.08.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	ФКГОУ ВПО ДВЮИ МВД России
2834-06	690087, г. Владивосток, ул. Котельникова, д. 21	2.1	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	452744A37ED4B139496A103502238434	29.08.2011	Владивостокский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	ВФ ФГОУ ВПО «ДВЮИ МВД России»
2834-06	693022, Сахалинская область, г. Южно-Сахалинск, планировочный район Ново-Александровск, ул. Науки, д. 1б	3.1	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	5AD50BB0FA9DB3FF0535912BE2735C41	29.08.2011	Южно-Сахалинский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
2834-06	677015, Республика Саха (Якутия), г. Якутск, ул. Якутская, д. 2	4.1	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	BB8E4ED9010A8792F30A3D5D494D4275	29.08.2011	Якутский филиал федерального государственного образовательного учреждения высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	
2891-06	656038, Алтайский край, г. Барнаул, улица Чкалова, д. 49	1.2	5B58C0A192166F42681A72A7E955BF24	Федеральная служба по надзору в сфере образования и науки	002E4B38E3C0F8A13BDEA8376748FD08	01.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Барнаульский юридический институт Министерства внутренних дел Российской Федерации»	Барнаульский юридический институт МВД России, БЮИ МВД России
2967-06	308024, г. Белгород, ул. Горького, д. 71	1.2	4EB2418664B58C79B301D2E75D2355BA	Федеральная служба по надзору в сфере образования и науки	2CEA9F477672D59CB988EA144531AF80	08.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Белгородский юридический институт Министерства внутренних дел Российской Федерации»	Белгородский юридический институт МВД России
2970-06	603144, Нижегородская область, г. Нижний Новгород, Приокский район, Анкудиновское шоссе, д. 3	1.2	3C003C575CE86DCD5AA37926B1E9AAA9	Федеральная служба по надзору в сфере образования и науки	44157BBFC9A52295D60921DE53B2AE24	08.09.2011	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Нижегородская академия Министерства внутренних дел Российской Федерации»	Нижегородская академия МВД России или НА МВД России
2910-06	143100, Московская область, Рузский район, пос. Старотеряево	3.2	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	1E0B12E5CC81AAEA6540A00B161451B2	01.09.2011	Московский областной филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Московский областной филиал Московского университета МВД России
2910-06	390046, г. Рязань, ул. Введенская, д. 106	4.2	0313CB94E403DBE97473976887710A55	Федеральная служба по надзору в сфере образования и науки	E4D4A7073F15955C6467E74F291B7024	01.09.2011	Рязанский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Московский университет Министерства внутренних дел Российской Федерации»	Рязанский филиал Московского университета МВД России
3131-06	420108, Республика Татарстан, г. Казань, ул. Магистральная, д. 35	1.1	4C49D118BC2995CAB8192AA97CB523E5	Федеральная служба по надзору в сфере образования и науки	2E215E311D9FAC51BA56AE6B96FA2CC6	29.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Казанский юридический институт Министерства внутренних дел Российской Федерации»	Казанский юридический институт  МВД России
3082-06	350005, г. Краснодар, ул. Ярославская, д. 128	1.1	B960ED913F4C27F1423AF437083D0505	Федеральная служба по надзору в сфере образования и науки	CD0199AF90BE8D7CFA2F3178AA338F56	27.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	Краснодарский университет МВД России, КрУ МВД России
3082-06	353911, г. Новороссийск, Сухумийское шоссе, 12 км	2.1	B960ED913F4C27F1423AF437083D0505	Федеральная служба по надзору в сфере образования и науки	B5CC060DEADB39A3C834FE21BA2FCD91	27.09.2011	Новороссийский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	Новороссийский филиал Краснодарского университета МВД России, НвФ КрУ МВД России
3082-06	355000, Ставропольский край, г. Ставрополь, проспект Кулакова,  43	3.1	B960ED913F4C27F1423AF437083D0505	Федеральная служба по надзору в сфере образования и науки	86E9E109A4D203BC886A3215771F8CD6	27.09.2011	Ставропольский филиал федерального государственного казенного образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	Ставропольский филиал Краснодарского университета МВД России, СФ КрУ МВД России
3132-06	420108, Республика Татарстан, г. Казань, ул. Магистральная, д. 35	1.2	4C49D118BC2995CAB8192AA97CB523E5	Федеральная служба по надзору в сфере образования и науки	523325F300416E909EAE9B312A767959	29.09.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Казанский юридический институт Министерства внутренних дел Российской Федерации»	Казанский юридический институт  МВД России
3178-06	410023,  г. Саратов, ул. Московская, д. 158	1.1	8A6D328B97C0FC776A4547FC5CF7BC97	Федеральная служба по надзору в сфере образования и науки	39B4B20B97641A0D99CE47A377C40A52	05.10.2011	федеральное государственное казенное военное образовательное учреждение высшего профессионального образования «Саратовский военный институт внутренних войск Министерства внутренних дел Российской Федерации»	Саратовский военный институт внутренних войск МВД России, СВИ ВИ МВД России
3260-06	630114, Россия, г. Новосибирск, ул. Ключ-Камышенское плато, д. 6/2	1.1	59B76274CC517B6EECADC4C74CDC2A3D	Федеральная служба по надзору в сфере образования и науки	84C48B66004A04663447AF26464CD49D	11.10.2011	федеральное государственное казенное  военное образовательное учреждение высшего профессионального образования «Новосибирский военный институт внутренних войск имени генерала армии И.К. Яковлева Министерства внутренних дел Российской Федерации»	НВИ ВВ имени генерала армии И.К. Яковлева МВД России
1161-06	Российская Федерация, 680020, Хабаровский край, г. Хабаровск, пер. Казарменный, д. 15	1.3	4DED4236D19E1C6AA9E4898FD6B6072B	Федеральная служба по надзору в сфере образования и науки	D49030A4652434641789A5A3A95E64D2	20.03.2012	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Дальневосточный юридический институт Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО ДВЮИ МВД России
1909-06	400089, г. Волгоград, ул. Историческая, д. 130	1.4	6F1BA551E13274956F2926352062EEEF	Федеральная служба по надзору в сфере образования и науки	F9F312F83D0CF90FC4F3066B0641039A	26.04.2012	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Волгоградская академия Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО «Волгоградская академия МВД России»; Волгоградская академия МВД России; ВА МВД России
3850-06	344015, г. Ростов-на-Дону, ул. Маршала Еременко, д. 83	1.3	CA6287B2C72156608DD516CB75170D4E	Федеральная служба по надзору в сфере образования и науки	E168C341AD423BCB596118AE18A2644D	11.10.2012	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Ростовский юридический институт Министерства внутренних дел Российской Федерации»	ФГКОУ ВПО «РЮИ МВД России»
3369-06	450103, Республика Башкортостан, г. Уфа, ул. Муксинова, д. 2	1.2	418FCBF04296336AD4B0A59B98E9AD95	Федеральная служба по надзору в сфере образования и науки	BCB83CC8D50A4E47A8B699FB213B17E8	17.10.2011	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Уфимский юридический институт Министерства внутренних дел Российской Федерации»	Уфимский юридический институт МВД России
937-06	198206, г. Санкт-Петербург, ул. Летчика Пилютова, д. 1	1.2	3BA350311CC3BC3585BC0EA03298B27F	Федеральная служба по надзору в сфере образования и науки	F1BD823942AF3F19A58B08FEC7C6A918	05.03.2012	федеральное государственное казенное  образовательное учреждение высшего профессионального образования «Санкт-Петербургский университет Министерства внутренних дел Российской Федерации»	Санкт-Петербургский университет МВД России
3884-06	625049, г. Тюмень, ул. Амурская, д. 75	1.1	7450CE37B3D2FE28E2A6B1AC9E304F38	Федеральная служба по надзору в сфере образования и науки	6EE54D54952BDE9E45BEFC2A7AA809BC	29.11.2011	федеральное государственное казенное образовательное учреждение дополнительного профессионального образования «Тюменский институт повышения квалификации сотрудников Министерства внутренних дел Российской Федерации»	ТИПК МВД России; ФГКОУ ДПО «ТИПК МВД России»
3494-06	125171, г. Москва, ул. Зои и Александра Космодемьянских, д. 8	1.1	E5F7C16B9FC8BAD086CBD0BD9FC8D9E7	Федеральная служба по надзору в сфере образования и науки	1E8DF8A9CC0A5AB0D82D02CCEADA5BD9	24.10.2011	федеральное государственное казенное образовательное учреждение высшего профессионального образования «Академия управления Министерства внутренних дел Российской Федерации»	Академия управления МВД России
3867-06	Российская Федерация, 360016, Кабардино-Балкарская Республика, г. Нальчик, ул. Мальбахова, 123	4.2	B960ED913F4C27F1423AF437083D0505	Федеральная служба по надзору в сфере образования и науки	279388F0C78164C48219A803253E3E22	15.10.2012	Северо-Кавказский институт повышения квалификации сотрудников МВД России (филиал) федерального государственного казенного  образовательного учреждения высшего профессионального образования «Краснодарский университет Министерства внутренних дел Российской Федерации»	Северо-Кавказский институт повышения квалификации (филиал) Краснодарского университета МВД России, СКИ(ф) КрУ МВД России
