id,lat,lng,name,address,phone,leader,distance,worktime,image
1410213,55.72491,37.610152,Главное управление МВД России по ЦФО,"Москва (г),  Шаболовка (ул), 6",,,,,
1412015,57.154186,65.540014,Управление МВД России по Тюменской области ,"Тюменская обл, Тюмень, Водопроводная, 38",,,1744851,,
1412106,54.620641,39.744819,УМВД России по Рязанской области,"Рязанская обл, Рязань, Введенская, 106",+7 (491) 227 08 60,,215514,,
1412113,54.601417,39.732476,УМВД России по г. Рязани,"Рязанская обл, Рязань, Баженова, 3",+7 (491) 219 90 76,,216172,,
1412118,54.624858,39.765426,Отдел полиции №1 (по обслуживанию Советского района г. Рязани),"Рязанская обл, Рязань, Фирсова, 23",+7 (491) 228 29 01,,216299,,
1412125,54.61486,39.688423,Отдел полиции №3 (по обслуживанию Железнодорожного района г. Рязани,"Рязанская обл, Рязань, Строителей, 6",+7 (491) 229 94 18,,213002,,
1412128,54.656105,39.645726,Отдел полиции №4 (по обслуживанию Московского района г. Рязани),"Рязанская обл, Рязань, Энгельса, 33/9",+7 (491) 233 01 72,,208025,,
1412138,54.581839,39.792807,ОМВД России по Рязанскому району,"Рязанская обл, Рязань, Прудная 2-я, 10",+7 (491) 228 91 55,,220595,,
1412141,54.938845,41.404546,"МО МВД России ""Касимовский""","Рязанская обл, Касимов, Ленина, 7 в",+7 (491) 312 24 18,,292294,,
1412161,54.337248,41.911852,"МО МВД России ""Сасовский""","Рязанская обл, Сасово, Ленина, 75",+7 (491) 335 15 02,,349604,,
1412174,55.128912,40.171339,ОМВД России по Клепиковскому району ,"Рязанская обл, Спас-Клепики, Есенина, 9",+7 (491) 422 65 72,,211354,,
1412176,53.926875,40.035029,"МО МВД России ""Кораблинский""","Рязанская обл, Кораблино, Карла Маркса, 3",+7 (491) 435 05 90,,280541,,
1412181,54.229191,39.904198,"Отделение полици (дислокация пгт Старожилово) МО МВД России ""Кораблинский""","Рязанская обл, Старожилово, Советская, 24",+7 (491) 512 16 13,,251625,,
1412291,58.59837864666924,49.68213296560668,УМВД России по Кировской области,"Кировская обл, Киров, Ленина, 96",+7 (833) 258 95 30,,824353,"понедельник - четверг: 9.00 - 18.00
пятница: 9.00 - 17.00
суббота, воскресенье - выходной
дежурная часть - круглосуточно",
1412344,55.037598,82.895816,Линейный отдел (ЛО) на станции Новосибирск,"Новосибирская обл, Новосибирск, Дмитрия Шамшурина, 20",+7 (383) 229 34 01,,2841447,Круглосуточно,
1412359,57.63266720882011,39.88068537578633,Управление Министерства внутренних дел Российской Федерации по Ярославской области,"Ярославская обл, Ярославль, Республиканская, 23",+7 (485) 272 88 11,,273836,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00",
1412492,55.855593,48.375545,Межмуниципальный отдел МВД России «Волжский»,"Марий Эл респ, Волжск, Щорса, 8",+7 (836) 314 98 42,,709060,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412500,55.968272,48.35756,Отделение полиции №4 МО МВД России «Волжский»,"Марий Эл респ, Помары, Копцева, 2",+7 (836) 314 87 07,,707226,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412517,56.326123,46.541661,Межмуниципальный отдел МВД России «Козьмодемьянский»,"Марий Эл респ, Козьмодемьянск, Гагарина, 56а",+7 (836) 327 55 07,,594666,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412525,55.967909,48.018689,Отдел МВД России по Звениговскому району,"Марий Эл респ, Звенигово, Ленина, 74",+7 (836) 457 14 02,,686196,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412538,56.774909,46.862512,Отделение полиции №8 МО МВД России «Медведевский» (по Килемарскому району),"Марий Эл респ, Килемары, Мира, 26",+7 (836) 432 12 75,,617998,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412572,56.809162,48.91404,Отделение полиции №5 МО МВД России «Сернурский» (по Куженерскому району),"Марий Эл респ, Куженер, Советская, 37",+7 (836) 379 13 02,,742552,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412575,56.78632,49.611698,Межмуниципальный отдел МВД России «Мари-Турекский»,"Марий Эл респ, Мари-Турек, Комсомольская, 64",+7 (836) 349 33 52,,784722,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412581,56.631996,47.800632,Межмуниципальный отдел МВД России «Медведевский»,"Марий Эл респ, Медведево, Медведево, 9",+7 (836) 258 28 98,,673533,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412583,57.682818,39.803461,Управление Министерства внутренних дел Российской Федерации по городу Ярославлю,"Ярославская обл, Ярославль, Урицкого, 25-б",+7 (485) 253 17 60,,275080,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00",
1412585,56.430047,48.998823,Отдел МВД России по Моркинскому району,"Марий Эл респ, Морки, Советская, 22",+7 (836) 359 13 39,,745949,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412586,54.233774,39.026966,"МО МВД России ""Михайловский""","Рязанская обл, Михайлов, Победы, 5 а",+7 (491) 302 13 70,,213113,http://62.mvd.ru/kontakti/kontakti_podrazd,
1412593,57.004377,48.738006,Отделение Полиции №10 Мо Мвд России «советский» (по Новоторъяльскому Району),"Марий Эл (респ), Новоторъяльский р-н, Новый Торъял, Советская, 23а",+7 (836) 369 28 38 — телефон доверия,,,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412594,54.375419,39.291251,"Пункт полиции (дислокация с. Захарово) МО МВД России ""Михайловский""","Рязанская обл, Захарово, Центральная, 12",+7 (491) 535 13 60,,211976,,
1412598,57.68292144127115,39.803318340008,"Отдел полиции ""Дзержинский"" УМВД России по г.Ярославлю","Ярославская обл, Ярославль, Урицкого, 25-б",+7 (485) 255 02 02,,275083,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00",
1412602,56.918595,47.890427,Отделение Полиции №7 Мо Мвд России «медведевский» (по Оршанскому Району),"Марий Эл (респ), Оршанский р-н, Оршанка, Советская, 111",+7 (836) 412 32 51 — телефон доверия,,,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412603,56.694445,49.403469,Отделение Полиции №9 Мо Мвд России «мари-турекский» (по Параньгинскому Району),"Марий Эл (респ), Параньгинский р-н, Параньга, Мира, 3а",+7 (836) 394 13 32 — телефон доверия,,,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412604,57.622414,39.882198,"Отдел полиции ""Центральный"" УМВД России по г. Ярославлю","Ярославская обл, Ярославль, Собинова, 53",+7 (485) 230 02 02,,273039,"дежурная часть: круглосуточно
подразделения: понедельник - четверг 9.00-18.15, пятница 9.00-17.00",
1412609,57.654735,39.939915,"Отдел полиции ""Заволжский"" УМВД России по г.Ярославлю","Ярославская обл, Ярославль, Авиаторов, 147",+7 (485) 224 02 02,,278023,"дежурная часть: круглосуточно
подразделения: понедельник - четверг 9.00-18.15, пятница 9.00-17.00",
1412612,54.038508,39.746193,ОМВД России по Пронскому району,"Рязанская обл, Новомичуринск, Волкова, 18",+7 (491) 412 23 23,,259717,http://62.mvd.ru/kontakti/kontakti_podrazd,
1412619,57.60788384465991,39.85563806884407,"Отдел полиции ""Красноперекопский"" УМВД России по г. Ярославлю","Ярославская обл, Ярославль, Большая Федоровская, 107",+7 (485) 221 02 02,,270774,"дежурная часть: круглосуточно
подразделения: понедельник - четверг 9.00-18.15, пятница 9.00-17.00",
1412622,56.934275,49.138286,Межмуниципальный Отдел Мвд России «сернурский»,"Марий Эл (респ), Сернурский р-н, Сернур, Конакова, 24",+7 (836) 339 76 13 — телефон доверия,,,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412630,56.760628,48.482813,Межмуниципальный Отдел Мвд России «советский»,"Марий Эл (респ), Советский р-н, Советский, Свободы, 7",+7 (836) 389 43 47 — телефон доверия,,,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412632,54.734783,39.506002,ОМВД России по Рыбновскому району,"Рязанская обл, Рыбное, Ленина, 26",+7 (491) 375 04 68,,195563,http://62.mvd.ru/kontakti/kontakti_podrazd,
1412637,56.286827,46.280521,Отделение полиции №6 МО МВД России «Козьмодемьянский» (по Юринскому району),"Марий Эл респ, Юрино, Советская, 4",+7 (836) 443 21 02,,578435,"дежурная часть: круглосуточно
понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412680,57.571579,39.931695,"Отдел полиции ""Фрунзенский"" УМВД России по г. Ярославлю","Ярославская обл, Ярославль, Корабельная, 28-а",+7 (485) 248 80 80,,270830,"дежурная часть: круглосуточно
подразделения: понедельник - четверг 9.00-18.15, пятница 9.00-17.00",
1412689,53.709892,40.061879,"МО МВД России ""Ряжский""","Рязанская обл, Ряжск, Энгельса, 4",+7 (491) 322 12 05,,299864,,
1412701,53.187936,45.172242,Мо Мвд России Зато Заречный,"Пензенская обл,  Заречный, Зеленая, 12",8 (8412) 65-18-90,,,Круглосуточно,
1412702,53.473592,40.210649,"Отделение полиции (дислокация пгт Александро-Невский) МО МВД России ""Ряжский""","Рязанская обл, Александро-Невский, Советская, 38",+7 (491) 582 26 26,,326460,,
1412707,53.739945,41.006772,"МО МВД России ""Сараевский""","Рязанская обл, Сараи, Ленина, 128",+7 (491) 483 19 72,,340270,,
1412708,58.04723386821828,38.82442375601602,"Межмуниципальное управление Министерства внутренних дел Российской Федерации ""Рыбинское"" (Рыбинское МУ МВД России)","Ярославская обл, Рыбинск, Карякинская, 49",+7 (485) 521 00 11,,277691,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00",
1412713,56.638313,47.894173,Управление МВД России по г. Йошкар-Оле,"Марий Эл респ, Йошкар-Ола, Комсомольская, 114",+7 (836) 268 33 04,,679278,"дежурная часть: круглосуточно
подразделения: понедельник-пятница 9.00-18.00, 
перерыв 13.00-14.00, 
суббота, воскресенье - выходной",
1412725,56.63004,47.891056,Отдел полиции №1 Управления МВД России по г. Йошкар-Оле,"Марий Эл респ, Йошкар-Ола, Ленинский, 21",+7 (836) 245 09 97,,679029,"дежурная часть: круглосуточно
подразделения: пн-пт 9.00-18.00, 
перерыв 13.00-14.00, 
сб, вс - выходной",
1412733,58.09778916667703,38.73636602140899,"Отдел полиции ""Волжский"" Рыбинского МУ МВД России","Ярославская обл, Рыбинск, Толбухина, 9",+7 (485) 522 23 95,,280778,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412736,58.598663,49.663073,Управление экономической безопасности и противодействия коррупции УМВД России по Кировской области,"Кировская обл, Киров, Молодой Гвардии, 57",+7 (833) 264 73 24,,823309,"понедельник - четверг: 9.00 - 18.00
пятница: 9.00 - 17.00
суббота, воскресенье - выходной
дежурная часть - круглосуточно",
1412737,56.63263,47.83625,Отдел полиции №2 Управления МВД России по г. Йошкар-Оле,"Марий Эл респ, Йошкар-Ола, Прохорова, 35",+7 (836) 268 03 50,,675708,"дежурная часть: круглосуточно
подразделения: пн-пт 9.00-18.00, 
перерыв 13.00-14.00, 
сб, вс - выходной",
1412739,58.01863037483306,38.85536774880265,"Отдел полиции ""Мариевка"" Рыбинского МУ МВД России","Ярославская обл, Рыбинск, Ошанина, 16",+7 (485) 526 19 20,,275559,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412743,55.79557,49.11926,МВД по Республике Татарстан,"Татарстан респ, Казань, Дзержинского, 19",+7 (843) 291 35 28,,755803,С 9 до 18 часов,
1412745,56.633521,47.939952,Отдел полиции №3 Управления МВД России по г. Йошкар-Оле,"Марий Эл респ, Йошкар-Ола, Карла Либкнехта, 96",+7 (836) 264 74 00,,682033,"дежурная часть: круглосуточно
подразделения: пн-пт 9.00-18.00, 
перерыв 13.00-14.00, 
сб, вс - выходной",
1412749,58.50252274084121,39.12362770439731,"Отдел полиции ""Пошехонский"" Рыбинского МУ МВД России","Ярославская обл, Пошехонье, Даниловская, 15",+7 (485) 462 14 62,,330972,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412772,56.73487217629918,38.85480594385168,"Межмуниципальный отдел Министерства внутренних дел Россиийской Федерации ""Переславль-Залесский"" (Переславль-Залесский МО МВД России)","Ярославская обл, Переславль-Залесский, Горсоветский, 1",+7 (485) 353 19 89,,158707,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412776,55.797174,49.119287,Управление МВД России по г. Казани,"Татарстан респ, Казань, Карла Маркса, 21",+7 (843) 291 48 21,,755791,,
1412783,58.604669,49.648799,Управление ГИБДД УМВД России по Кировской области,"Кировская обл, Киров, Преображенская, 84",+7 (833) 264 38 77,,822717,"понедельник - четверг: 9.00 - 18.00
пятница: 9.00 - 17.00
суббота, воскресенье - выходной
дежурная часть - круглосуточно",
1412784,58.186898,40.17433,Отдел Министерства внутренних дел Российской Федерации по Даниловскому району Ярославской области (Даниловский ОМВД России),"Ярославская обл, Данилов, Карла Маркса, 20",+7 (485) 385 26 44,,331475,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412791,58.576397,49.621688,УМВД России по городу Кирову (Ленинский район),"Кировская обл, Киров, Красина, 51",+7 (833) 256 60 20,,820295,круглосуточно,
1412794,55.8679,49.080857,"Отдел полиции №1 ""Авиастроительный"" УМВД России по г.Казани","Татарстан респ, Казань, Челюскина, 56",+7 (843) 221 45 03,,752807,,
1412797,57.677794,40.367271,Отдел Министерства внутренних дел Российской Федерации по Некрасовскому району Ярославской области (Некрасовский ОМВД России),"Ярославская обл, Некрасовское, Некрасова, 24-а",+7 (485) 314 14 67,,296186,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412806,57.524852,38.318043,"Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Угличский"" (Угличский МО МВД России)","Ярославская обл, Углич, Первомайская, 8",+7 (485) 322 22 22,,213281,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412807,53.943827,40.681393,"Отделение полиции (дислокация пгт Сапожок) МО МВД России ""Сараевский""","Рязанская обл, Сапожок, Советская, 26",+7 (491) 522 11 60,,309271,"
http://62.mvd.ru/kontakti/kontakti_podrazd
",
1412809,58.614349,49.654782,Отдел полиции №1 УМВД России по г. Кирову (Октябрьский район),"Кировская обл, Киров, Профсоюзная, 88",+7 (833) 236 16 22,,823365,круглосуточно,
1412816,57.78331399999181,38.45250491811416,"Отделение полиции ""Мышкинское"" Угличского МО МВД России","Ярославская обл, Мышкин, Ленина, 7",+7 (485) 442 14 48,,242956,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412817,58.599169,49.683483,Отдел полиции №2 УМВД России по г. Кирову (Первомайский район),"Кировская обл, Киров, Молодой Гвардии, 25",+7 (833) 264 52 09,,824454,круглосуточно,
1412821,57.55616781588174,49.94536345767211,"Межмуниципальный отдел МВД России ""Нолинский""","Кировская обл, Нолинск, К.Либкнехта, 9",+7 (833) 682 18 82,,813556,круглосуточно,
1412824,57.31435,39.861824,Отдел Министерства внутренних дел Российской Федерации по Гаврилов-Ямскому району Ярославской области (Гаврилов-Ямский ОМВД России),"Ярославская обл, Гаврилов-Ям, Клубная, 3",+7 (485) 342 02 02,,247492,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412829,58.507863,49.690759,Отдел полиции №3 УМВД России по г. Кирову (Нововятский район) ,"Кировская (обл), Киров г, Мопра, 8а",+7 (833) 231 24 45,,821941,круглосуточно,
1412842,58.418241,40.323271,"Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Первомайский"" (Первомайский МО МВД России)","Ярославская обл, Пречистое, Вологодская, 43",+7 (485) 492 10 67,,357341,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412844,57.415119,49.526987,"Пункт Полиции \""лебяжский"" Мо Мвд России \""нолинский""","Кировская (обл), Лебяжский р-н, Лебяжье, Комарова, 20а",,,,круглосуточно,
1412848,58.36175278925982,40.69382625794983,"Отделение полиции ""Любимское"" Первомайского МО МВД России","Ярославская обл, Любим, Раевского, 15",+7 (485) 432 10 02,,365435,"дежурная часть: круглосуточно
подразделения: понедельник-четверг 9.00-18.15, пятница 9.00-17.00
",
1412851,59.337972,52.235704,Отдел МВД России по Верхнекамскому району,"Кировская обл, Кирс, Кирова, 22",+7 (833) 392 19 02,,988171,круглосуточно,
